price_change_percent_signed,product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date
+5.95%,14699240-14531549,445.0,2024-09-26,420.0,2024-09-25
+7.19%,14696885-14529194,4250.0,2024-09-26,3965.0,2024-09-25
+6.19%,14696866-14529175,3960.0,2024-09-26,3729.0,2024-09-25
+6.81%,14696865-14529174,5000.0,2024-09-26,4681.0,2024-09-25
+6.47%,14687437-14519746,1250.0,2024-09-26,1174.0,2024-09-25
+6.14%,14679027-14511336,2300.0,2024-09-26,2167.0,2024-09-25
+5.30%,14679026-14511335,3300.0,2024-09-26,3134.0,2024-09-25
+8.63%,14670757-14503066,1900.0,2024-09-26,1749.0,2024-09-25
+5.49%,14664354-14496663,1980.0,2024-09-26,1877.0,2024-09-25
+6.14%,14664353-14496662,2300.0,2024-09-26,2167.0,2024-09-25
+6.89%,14664352-14496661,3350.0,2024-09-26,3134.0,2024-09-25
+7.11%,14650505-14482814,3600.0,2024-09-26,3361.0,2024-09-25
+7.35%,14650492-14482801,2350.0,2024-09-26,2189.0,2024-09-25
+6.42%,14645226-14477535,2700.0,2024-09-26,2537.0,2024-09-25
+7.39%,14628287-14460596,2950.0,2024-09-26,2747.0,2024-09-25
+6.23%,14625136-14457445,2200.0,2024-09-26,2071.0,2024-09-25
+7.39%,14625132-14457441,2950.0,2024-09-26,2747.0,2024-09-25
+6.23%,14625131-14457440,2200.0,2024-09-26,2071.0,2024-09-25
+6.23%,14625130-14457439,2200.0,2024-09-26,2071.0,2024-09-25
+6.14%,14625129-14457438,2300.0,2024-09-26,2167.0,2024-09-25
+6.00%,14597352-14429661,4450.0,2024-09-26,4198.0,2024-09-25
+7.39%,14573761-14406070,2950.0,2024-09-26,2747.0,2024-09-25
+6.14%,14572513-14404822,2300.0,2024-09-26,2167.0,2024-09-25
+6.30%,14568707-14401016,5300.0,2024-09-26,4986.0,2024-09-25
+6.60%,14565352-14397661,3650.0,2024-09-26,3424.0,2024-09-25
+7.58%,14565351-14397660,4100.0,2024-09-26,3811.0,2024-09-25
+6.23%,14565350-14397659,2200.0,2024-09-26,2071.0,2024-09-25
+6.23%,14565349-14397658,2200.0,2024-09-26,2071.0,2024-09-25
+7.11%,14565340-14397649,3150.0,2024-09-26,2941.0,2024-09-25
+7.39%,14565339-14397648,2950.0,2024-09-26,2747.0,2024-09-25
+9.03%,14565338-14397647,2100.0,2024-09-26,1926.0,2024-09-25
+5.72%,14565337-14397646,2700.0,2024-09-26,2554.0,2024-09-25
+5.72%,14558494-14390803,2700.0,2024-09-26,2554.0,2024-09-25
+5.72%,14557360-14389669,2700.0,2024-09-26,2554.0,2024-09-25
+5.54%,14554718-14387027,2650.0,2024-09-26,2511.0,2024-09-25
+7.35%,14551812-14384121,2350.0,2024-09-26,2189.0,2024-09-25
+6.14%,14533201-14365510,2300.0,2024-09-26,2167.0,2024-09-25
+6.89%,14517370-14349679,1800.0,2024-09-26,1684.0,2024-09-25
+5.72%,14517368-14349677,2700.0,2024-09-26,2554.0,2024-09-25
+5.49%,14517365-14349674,3000.0,2024-09-26,2844.0,2024-09-25
+6.23%,14463824-14296133,2200.0,2024-09-26,2071.0,2024-09-25
+5.82%,14455300-14287609,2600.0,2024-09-26,2457.0,2024-09-25
+5.89%,14445396-14277705,2500.0,2024-09-26,2361.0,2024-09-25
+6.89%,14385668-14217977,1800.0,2024-09-26,1684.0,2024-09-25
+6.33%,14633205-14465514,2300.0,2024-09-26,2163.0,2024-09-25
+6.73%,14627105-14459414,4250.0,2024-09-26,3982.0,2024-09-25
+5.21%,14602957-14435266,2200.0,2024-09-26,2091.0,2024-09-25
+7.11%,14602956-14435265,3600.0,2024-09-26,3361.0,2024-09-25
+6.18%,14602953-14435262,1650.0,2024-09-26,1554.0,2024-09-25
+7.62%,14602941-14435250,1200.0,2024-09-26,1115.0,2024-09-25
+6.01%,14586701-14419010,2400.0,2024-09-26,2264.0,2024-09-25
+5.49%,14566061-14398370,2000.0,2024-09-26,1896.0,2024-09-25
+5.37%,14530345-14362654,1020.0,2024-09-26,968.0,2024-09-25
+6.00%,14628464-14460773,4450.0,2024-09-26,4198.0,2024-09-25
+5.72%,14609462-14441771,2700.0,2024-09-26,2554.0,2024-09-25
+7.62%,14598217-14430526,1200.0,2024-09-26,1115.0,2024-09-25
+6.18%,14544713-14377022,4350.0,2024-09-26,4097.0,2024-09-25
