price_change_percent_signed,product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,product_name,listing_url,source_file
+12.36%,14696865-14529174,4728.0,2024-10-14,4208.0,2024-10-14,Brown Suede Prada Buckle Large Handbag,https://www.italist.com/us/women/bags/totes/brown-suede-prada-buckle-large-handbag/14529174/14696865/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
+20.50%,14687555-14519864,4937.0,2024-10-14,4097.0,2024-10-14,Printed Leather Mini Galleria Handbag,https://www.italist.com/us/women/bags/totes/printed-leather-mini-galleria-handbag/14519864/14687555/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
+899.54%,14679027-14511336,2189.0,2024-10-14,219.0,2024-10-14,Light Grey Leather Arquã¨ Handbag,https://www.italist.com/us/women/bags/totes/light-grey-leather-arqua-handbag/14511336/14679027/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
+904.76%,14679026-14511335,3165.0,2024-10-14,315.0,2024-10-14,Brown Suede Large Shoulder Bag,https://www.italist.com/us/women/bags/totes/brown-suede-large-shoulder-bag/14511335/14679026/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
+657.44%,14664353-14496662,2189.0,2024-10-14,289.0,2024-10-14,Black Nappa Leather Mini Bucket Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-nappa-leather-mini-bucket-bag/14496662/14664353/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
+970.46%,14645226-14477535,2537.0,2024-10-14,237.0,2024-10-14,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14477535/14645226/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
+657.44%,14572513-14404822,2189.0,2024-10-14,289.0,2024-10-14,Caramel Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14404822/14572513/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
-99.00%,14565352-14397661,3458.0,2024-10-14,345228.0,2024-10-14,Caramel Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14397661/14565352/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
-88.76%,14565351-14397660,3849.0,2024-10-14,34229.0,2024-10-14,Caramel Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14397660/14565351/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
-98.97%,14565349-14397658,2091.0,2024-10-14,202291.0,2024-10-14,Black Raffia Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-raffia-crossbody-bag/14397658/14565349/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
+821.43%,14557360-14389669,2580.0,2024-10-14,280.0,2024-10-14,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14389669/14557360/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
-99.01%,14551812-14384121,2189.0,2024-10-14,222189.0,2024-10-14,Black Leather Crossbody Bag,https://www.italist.com/us/women/bags/totes/black-leather-crossbody-bag/14384121/14551812/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
-99.25%,14533201-14365510,2189.0,2024-10-14,290189.0,2024-10-14,Black Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14365510/14533201/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
-89.79%,14517368-14349677,2580.0,2024-10-14,25280.0,2024-10-14,White Leather Cleo Shoulder Bag,https://www.italist.com/us/women/bags/totes/white-leather-cleo-shoulder-bag/14349677/14517368/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-14-10_bags_f3f28ac8/RAW_italist_prada_2024-14-10_bags_f3f28ac8.csv
