product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,sold_date,sold,url,source
14699240-14531549,421.0,2024-10-17,421.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/luggage/black-re-nylon-beauty-case/14531549/14699240/prada/,ITALIST
14602957-14435266,2091.0,2024-10-17,2091.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/tote/14435266/14602957/prada/,ITALIST
14602956-14435265,3361.0,2024-10-17,3361.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/tote/14435265/14602956/prada/,ITALIST
14602953-14435262,1554.0,2024-10-17,1554.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/backpacks/backpack/14435262/14602953/prada/,ITALIST
14602941-14435250,1115.0,2024-10-17,1115.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14435250/14602941/prada/,ITALIST
14586701-14419010,2264.0,2024-10-17,2264.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/prada-arque-leather-shoulder-bag/14419010/14586701/prada/,ITALIST
14566061-14398370,1896.0,2024-10-17,1896.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/tote/14398370/14566061/prada/,ITALIST
14530345-14362654,968.0,2024-10-17,968.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/tote/14362654/14530345/prada/,ITALIST
14598217-14430526,1115.0,2024-10-17,1115.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/luggage/calf-leather-pouch/14430526/14598217/prada/,ITALIST
14627108-14459417,3477.0,2024-10-17,3477.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/prada-buckle-small-leather-bag/14459417/14627108/prada/,ITALIST
14633205-14465514,2163.0,2024-10-17,2163.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/leather-crossbody-medium-bag/14465514/14633205/prada/,ITALIST
14609462-14441771,2580.0,2024-10-17,2580.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/cleo-shoulder-bag/14441771/14609462/prada/,ITALIST
14627105-14459414,3982.0,2024-10-17,3982.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/prada-buckle-leather-bag/14459414/14627105/prada/,ITALIST
14628464-14460773,4240.0,2024-10-17,4240.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14460773/14628464/prada/,ITALIST
14222222-12242342,421.0,2024-10-17,421.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/luggage/black-re-nylon-beauty-case/14531549/14699240/prada/,ITALIST
14544713-14377022,4097.0,2024-10-17,4097.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/caramel-leather-medium-prada-buckle-handbag/14377022/14544713/prada/,ITALIST
14517370-14349679,1701.0,2024-10-17,1701.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/midnight-blue-re-nylon-large-re-edition-1978-shopping-bag/14349679/14517370/prada/,ITALIST
14517368-14349677,2580.0,2024-10-17,2580.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/white-leather-cleo-shoulder-bag/14349677/14517368/prada/,ITALIST
14517365-14349674,2872.0,2024-10-17,2872.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/sand-leather-small-panier-handbag/14349674/14517365/prada/,ITALIST
14463824-14296133,2091.0,2024-10-17,2091.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14296133/14463824/prada/,ITALIST
14445396-14277705,2384.0,2024-10-17,2384.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/light-pink-leather-shoulder-bag/14277705/14445396/prada/,ITALIST
14385668-14217977,1701.0,2024-10-17,1701.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/mud-re-nylon-large-re-edition-1978-shopping-bag/14217977/14385668/prada/,ITALIST
14455300-14287609,2457.0,2024-10-17,2457.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/luggage/re-edition-1978-re-nylon-and-saffiano-large-black-top-case/14287609/14455300/prada/,ITALIST
14551812-14384121,2189.0,2024-10-17,2189.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/black-leather-crossbody-bag/14384121/14551812/prada/,ITALIST
14533201-14365510,2189.0,2024-10-17,2189.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14365510/14533201/prada/,ITALIST
