product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,sold_date,sold,url,source
14517371-14349680,999.0,2024-10-23,3361.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14349680/14517371/prada/,ITALIST
14517369-14349678,999.0,2024-10-23,1701.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/black-re-nylon-large-re-edition-1978-shopping-bag/14349678/14517369/prada/,ITALIST
14491007-14323316,999.0,2024-10-23,2287.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/luggage/grey-leather-shoulder-bag/14323316/14491007/prada/,ITALIST
14565352-14397661,999.0,2024-10-17,3458.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14397661/14565352/prada/,ITALIST
14565351-14397660,999.0,2024-10-17,3849.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14397660/14565351/prada/,ITALIST
14565350-14397659,999.0,2024-10-17,2091.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/raffia-crossbody-bag/14397659/14565350/prada/,ITALIST
14565349-14397658,999.0,2024-10-17,2091.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/black-raffia-crossbody-bag/14397658/14565349/prada/,ITALIST
14625136-14457445,999.0,2024-10-17,2091.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14457445/14625136/prada/,ITALIST
14597352-14429661,999.0,2024-10-17,4240.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/black-leather-shopping-bag/14429661/14597352/prada/,ITALIST
14463824-14296133,999.0,2024-10-17,2091.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14296133/14463824/prada/,ITALIST
14520789-14353098,999.0,2024-10-23,1945.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-micro-symbole-handbag/14353098/14520789/prada/,ITALIST
14852827-14685136,999.0,2024-10-23,3458.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/esterno-100-nylon-100-pelle-fodera-100-tessuto-finitura-metallo-dorato/14685136/14852827/prada/,ITALIST
14573305-14405614,999.0,2024-10-23,2482.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/black-leather-shopping-bag/14405614/14573305/prada/,ITALIST
14565364-14397673,999.0,2024-10-23,1115.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/luggage/army-green-crochet-and-leather-mini-pouch/14397673/14565364/prada/,ITALIST
14554718-14387027,999.0,2024-10-17,2511.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/cappuccino-leather-shoulder-bag/14387027/14554718/prada/,ITALIST
14687555-14519864,999.0,2024-10-17,4337.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/printed-leather-mini-galleria-handbag/14519864/14687555/prada/,ITALIST
14679026-14511335,999.0,2024-10-17,3165.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/brown-suede-large-shoulder-bag/14511335/14679026/prada/,ITALIST
14664354-14496663,999.0,2024-10-17,1896.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-re-edition-1978-bucket-bag/14496663/14664354/prada/,ITALIST
14431563-14263872,999.0,2024-10-23,1896.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/raffia-arqua-handbag/14263872/14431563/prada/,ITALIST
14421645-14253954,999.0,2024-10-23,1554.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/khaki-straw-handbag/14253954/14421645/prada/,ITALIST
14530345-14362654,999.0,2024-10-17,968.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/tote/14362654/14530345/prada/,ITALIST
14602941-14435250,999.0,2024-10-17,1115.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14435250/14602941/prada/,ITALIST
14840922-14673231,999.0,2024-10-23,2511.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/black-nylon-bucket-bag/14673231/14840922/prada/,ITALIST
14840795-14673104,999.0,2024-10-23,3783.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bag/14673104/14840795/prada/,ITALIST
14826455-14658764,999.0,2024-10-23,2287.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/black-nylon-bucket-bag/14658764/14826455/prada/,ITALIST
14819024-14651333,999.0,2024-10-23,2500.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/bucket-bag/14651333/14819024/prada/,ITALIST
