Brand,Product Name,Price
Prada,Large Black Leather Shopping Bag,USD 3849
Prada,Logo Plaque Top Handle Bag,USD 2970
Prada,Logo Plaque Small Backpack,USD 1749
Prada,Re-edition 2005 Saffiano Shoulder Bag,USD 1974
Prada,Panier Medium Tote Bag,USD 2970
Prada,Pelle,USD 3811 
Prada,Pelle,USD 2457 
Prada,Black Leather Shoulder Bag,USD 3328 
Prada,Pink Leather Shoulder Bag,USD 2264 
Prada,Shoulder Bag,USD 3955
Prada,Black Leather Cleo Shoulder Bag,USD 3714 
Prada,Brown Suede Large Shoulder Bag,USD 3134 
Prada,Black Nylon Small Backpack,USD 1749
Prada,Caramel Leather Re-edition 1978 Bucket Bag,USD 1877 
Prada,Black Nappa Leather Mini Bucket Bag,USD 2167 
Prada,Black Leather Bucket Bag,USD 3134 
Prada,Logo Medium Tote Bag,USD 3361
Prada,Caramel Leather Crossbody Bag,USD 2189
Prada,Shoulder Bag,USD 2537
Prada,Caramel Leather Crossbody Bag,USD 2071 
Prada,Caramel Leather Mini Prada Re-edition Shoulder Bag,USD 2071 
Prada,Black Leather Mini Prada Re-edition Shoulder Bag,USD 2071 
Prada,Pastel Yellow Leather Arquã¨ Handbag,USD 2167 
Prada,Black Leather Shopping Bag,USD 4198 
Prada,Embroidered Fabric Large Symbole Shopping Bag,USD 2747 
Prada,Black Leather Shopping Bag,USD 2457 
Prada,Caramel Leather Crossbody Bag,USD 2167 
Prada,Belted Handbag,USD 4986
Prada,Caramel Leather Shopping Bag,USD 3811 
Prada,Raffia Crossbody Bag,USD 2071 
Prada,Black Raffia Crossbody Bag,USD 2071 
Prada,Embroidered Fabric Large Symbole Shopping Bag,USD 2941 
Prada,Embroidered Fabric Large Symbole Shopping Bag,USD 2747 
Prada,Embroidered Fabric Micro Symbole Handbag,USD 1926 
Prada,Embroidered Fabric Small Symbole Shopping Bag,USD 2554 
Prada,Embroidered Fabric Small Symbole Shopping Bag,USD 2554 
Prada,Embroidered Fabric Small Symbole Shopping Bag,USD 2554 
Prada,Cappuccino Leather Shoulder Bag,USD 2511
Prada,Black Leather Crossbody Bag,USD 2189
Prada,Black Leather Crossbody Bag,USD 2167 
Prada,Midnight Blue Re-nylon Large Re-edition 1978 Shopping Bag,USD 1684 
Prada,Sand Leather Small Panier Handbag,USD 2844 
Prada,Re-edition 1978 Re-nylon And Saffiano Large Black Top Case,USD 2457
Prada,Light Pink Leather Shoulder Bag,USD 2361 
Prada,Mud Re-nylon Large Re-edition 1978 Shopping Bag,USD 1684 
Prada,Leather Crossbody Medium Bag,USD 2163
Prada,Prada Buckle Small Leather Bag,USD 3477
Prada,Prada Buckle Leather Bag,USD 3982
Prada,Tote,USD 2091
Prada,Tote,USD 3361
Prada,Backpack,USD 1554
Prada,Shoulder Bag,USD 1115
Prada,Prada Arqué Leather Shoulder Bag,USD 2264
Prada,Tote,USD 1896
Prada,Tote,USD 968
Prada,Caramel Leather Shopping Bag,USD 4198 
Prada,Calf Leather Pouch,USD 1115
Prada,Handbag,USD 2607
Prada,Caramel Leather Medium Prada Buckle Handbag,USD 4097
Prada,Black Leather Prada Buckle Medium Handbag,USD 4409
