Scraped: 2024-26-09 
Query: prada-bags 
product_id,brand,product_name,curr_price
---------------------- 
14558494-14390803,Prada,Embroidered Fabric Small Symbole Shopping Bag, 2554 
14557360-14389669,Prada,Embroidered Fabric Small Symbole Shopping Bag, 2554 
14554718-14387027,Prada,Cappuccino Leather Shoulder Bag, 2511
14551812-14384121,Prada,Black Leather Crossbody Bag, 2189
14533201-14365510,Prada,Black Leather Crossbody Bag, 2167 
14517370-14349679,Prada,Midnight Blue Re-nylon Large Re-edition 1978 Shopping Bag, 1684 
14517368-14349677,Prada,White Leather Cleo Shoulder Bag, 2554 
14517365-14349674,Prada,Sand Leather Small Panier Handbag, 2844 
14463824-14296133,Prada,Black Leather Crossbody Bag, 2071 
14455300-14287609,Prada,Re-edition 1978 Re-nylon And Saffiano Large Black Top Case, 2457
14445396-14277705,Prada,Light Pink Leather Shoulder Bag, 2361 
14385668-14217977,Prada,Mud Re-nylon Large Re-edition 1978 Shopping Bag, 1684 
14633205-14465514,Prada,Leather Crossbody Medium Bag, 2163
14627108-14459417,Prada,Prada Buckle Small Leather Bag, 3477
14627105-14459414,Prada,Prada Buckle Leather Bag, 3982
14602957-14435266,Prada,Tote, 2091
14602956-14435265,Prada,Tote, 3361
14602953-14435262,Prada,Backpack, 1554
14602941-14435250,Prada,Shoulder Bag, 1115
14586701-14419010,Prada,Prada Arqué Leather Shoulder Bag, 2264
14566061-14398370,Prada,Tote, 1896
14530345-14362654,Prada,Tote, 968
14628464-14460773,Prada,Caramel Leather Shopping Bag, 4198 
14609462-14441771,Prada,Cleo Shoulder Bag, 2554 
14598217-14430526,Prada,Calf Leather Pouch, 1115
14544713-14377022,Prada,Caramel Leather Medium Prada Buckle Handbag, 4097
