Scraped: 2024-14-10 
category: prada-bags 
product_id,brand,product_name,curr_price,listing_url
---------------------- 
14699240-14531549,Prada,Black Re-nylon Beauty Case,421,https://www.italist.com/us/women/bags/luggage/black-re-nylon-beauty-case/14531549/14699240/prada/
14696885-14529194,Prada,Shoulder Bag,3955,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14529194/14696885/prada/
14696866-14529175,Prada,Black Leather Cleo Shoulder Bag,3751,https://www.italist.com/us/women/bags/totes/black-leather-cleo-shoulder-bag/14529175/14696866/prada/
14696865-14529174,Prada,Brown Suede Prada Buckle Large Handbag,4728,https://www.italist.com/us/women/bags/totes/brown-suede-prada-buckle-large-handbag/14529174/14696865/prada/
14687555-14519864,Prada,Printed Leather Mini Galleria Handbag,4937,https://www.italist.com/us/women/bags/totes/printed-leather-mini-galleria-handbag/14519864/14687555/prada/
14687437-14519746,Prada,Shoulder Bag,1174,https://www.italist.com/us/women/bags/shoulder-bag/14519746/14687437/prada/
14679027-14511336,Prada,Light Grey Leather Arquã¨ Handbag,2189,https://www.italist.com/us/women/bags/totes/light-grey-leather-arqua-handbag/14511336/14679027/prada/
14679026-14511335,Prada,Brown Suede Large Shoulder Bag,3165,https://www.italist.com/us/women/bags/totes/brown-suede-large-shoulder-bag/14511335/14679026/prada/
14670757-14503066,Prada,Black Nylon Small Backpack,1749,https://www.italist.com/us/women/bags/backpacks/black-nylon-small-backpack/14503066/14670757/prada/
14664354-14496663,Prada,Caramel Leather Re-edition 1978 Bucket Bag,196,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-re-edition-1978-bucket-bag/14496663/14664354/prada/
14664353-14496662,Prada,Black Nappa Leather Mini Bucket Bag,2189,https://www.italist.com/us/women/bags/shoulder-bags/black-nappa-leather-mini-bucket-bag/14496662/14664353/prada/
14664352-14496661,Prada,Black Leather Bucket Bag,3165,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-bucket-bag/14496661/14664352/prada/
14650505-14482814,Prada,Logo Medium Tote Bag,3361,https://www.italist.com/us/women/bags/totes/logo-medium-tote-bag/14482814/14650505/prada/
14650492-14482801,Prada,Caramel Leather Crossbody Bag,2189,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14482801/14650492/prada/
14645226-14477535,Prada,Shoulder Bag,2537,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14477535/14645226/prada/
14628287-14460596,Prada,Light Pink Leather Crossbody Bag,2775,https://www.italist.com/us/women/bags/shoulder-bags/light-pink-leather-crossbody-bag/14460596/14628287/prada/
14625136-14457445,Prada,Caramel Leather Crossbody Bag,2091,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14457445/14625136/prada/
14625132-14457441,Prada,Grey Leather Crossbody Bag,2775,https://www.italist.com/us/women/bags/shoulder-bags/grey-leather-crossbody-bag/14457441/14625132/prada/
