Scraped: 2024-16-10 
category: prada-bags 
product_id,brand,product_name,curr_price,listing_url
---------------------- 
14826455-14658764,Prada,Black Nylon Bucket Bag,2287,https://www.italist.com/us/women/bags/shoulder-bags/black-nylon-bucket-bag/14658764/14826455/prada/
14819024-14651333,Prada,Bucket Bag,2500,https://www.italist.com/us/women/bags/shoulder-bags/bucket-bag/14651333/14819024/prada/
14807770-14640079,Prada,Brown Suede Prada Buckle Medium Handbag,4142,https://www.italist.com/us/women/bags/totes/brown-suede-prada-buckle-medium-handbag/14640079/14807770/prada/
14804567-14636876,Prada,Black Leather Shopping Bag,3361,https://www.italist.com/us/women/bags/totes/black-leather-shopping-bag/14636876/14804567/prada/
14789204-14621513,Prada,Light Pink Leather Shoulder Bag,2189,https://www.italist.com/us/women/bags/totes/light-pink-leather-shoulder-bag/14621513/14789204/prada/
14781749-14614058,Prada,Strap,578,https://www.italist.com/us/women/bags/shoulder-bags/strap/14614058/14781749/prada/
14780324-14612633,Prada,Black Leather Re-edition 1978 Bucket Bag,1896,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-re-edition-1978-bucket-bag/14612633/14780324/prada/
14732019-14564328,Prada,Black Nylon Handbag,1896,https://www.italist.com/us/women/bags/totes/black-nylon-handbag/14564328/14732019/prada/
14731922-14564231,Prada,Black Re-nylon Tote Bag,2404,https://www.italist.com/us/women/bags/totes/black-re-nylon-tote-bag/14564231/14731922/prada/
14718809-14551118,Prada,Large Black Leather Shopping Bag,4230,https://www.italist.com/us/women/bags/totes/large-black-leather-shopping-bag/14551118/14718809/prada/
14712348-14544657,Prada,Pelle,3849,https://www.italist.com/us/women/bags/totes/pelle/14544657/14712348/prada/
14707738-14540047,Prada,Black Leather Shoulder Bag,3361,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-shoulder-bag/14540047/14707738/prada/
14687555-14519864,Prada,Printed Leather Mini Galleria Handbag,4337,https://www.italist.com/us/women/bags/totes/printed-leather-mini-galleria-handbag/14519864/14687555/prada/
14679026-14511335,Prada,Brown Suede Large Shoulder Bag,3165,https://www.italist.com/us/women/bags/totes/brown-suede-large-shoulder-bag/14511335/14679026/prada/
14664354-14496663,Prada,Caramel Leather Re-edition 1978 Bucket Bag,1896,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-re-edition-1978-bucket-bag/14496663/14664354/prada/
14628287-14460596,Prada,Light Pink Leather Crossbody Bag,2775,https://www.italist.com/us/women/bags/shoulder-bags/light-pink-leather-crossbody-bag/14460596/14628287/prada/
14625136-14457445,Prada,Caramel Leather Crossbody Bag,2091,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14457445/14625136/prada/
14625132-14457441,Prada,Grey Leather Crossbody Bag,2775,https://www.italist.com/us/women/bags/shoulder-bags/grey-leather-crossbody-bag/14457441/14625132/prada/
14625131-14457440,Prada,Caramel Leather Mini Prada Re-edition Shoulder Bag,2091,https://www.italist.com/us/women/bags/totes/caramel-leather-mini-prada-re-edition-shoulder-bag/14457440/14625131/prada/
14625130-14457439,Prada,Black Leather Mini Prada Re-edition Shoulder Bag,2091,https://www.italist.com/us/women/bags/totes/black-leather-mini-prada-re-edition-shoulder-bag/14457439/14625130/prada/
14625129-14457438,Prada,Pastel Yellow Leather Arquã¨ Handbag,2189,https://www.italist.com/us/women/bags/totes/pastel-yellow-leather-arqua-handbag/14457438/14625129/prada/
14573305-14405614,Prada,Black Leather Shopping Bag,2482,https://www.italist.com/us/women/bags/totes/black-leather-shopping-bag/14405614/14573305/prada/
14572513-14404822,Prada,Caramel Leather Crossbody Bag,2189,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14404822/14572513/prada/
14565351-14397660,Prada,Caramel Leather Shopping Bag,3849,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14397660/14565351/prada/
14565350-14397659,Prada,Raffia Crossbody Bag,2091,https://www.italist.com/us/women/bags/shoulder-bags/raffia-crossbody-bag/14397659/14565350/prada/
14565349-14397658,Prada,Black Raffia Crossbody Bag,2091,https://www.italist.com/us/women/bags/shoulder-bags/black-raffia-crossbody-bag/14397658/14565349/prada/
14565340-14397649,Prada,Embroidered Fabric Large Symbole Shopping Bag,2970,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397649/14565340/prada/
14565339-14397648,Prada,Embroidered Fabric Large Symbole Shopping Bag,2775,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397648/14565339/prada/
14565338-14397647,Prada,Embroidered Fabric Micro Symbole Handbag,1945,https://www.italist.com/us/women/bags/totes/embroidered-fabric-micro-symbole-handbag/14397647/14565338/prada/
14565337-14397646,Prada,Embroidered Fabric Small Symbole Shopping Bag,2580,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14397646/14565337/prada/
14563340-14395649,Prada,Caramel Leather Handbag,2775,https://www.italist.com/us/women/bags/totes/caramel-leather-handbag/14395649/14563340/prada/
14558495-14390804,Prada,Light Pink Leather Arquè Handbag,2189,https://www.italist.com/us/women/bags/totes/light-pink-leather-arque-handbag/14390804/14558495/prada/
14558494-14390803,Prada,Embroidered Fabric Small Symbole Shopping Bag,2580,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14390803/14558494/prada/
14533201-14365510,Prada,Black Leather Crossbody Bag,2189,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14365510/14533201/prada/
14533199-14365508,Prada,Black Leather Handbag,2775,https://www.italist.com/us/women/bags/totes/black-leather-handbag/14365508/14533199/prada/
14517370-14349679,Prada,Midnight Blue Re-nylon Large Re-edition 1978 Shopping Bag,1701,https://www.italist.com/us/women/bags/totes/midnight-blue-re-nylon-large-re-edition-1978-shopping-bag/14349679/14517370/prada/
14517368-14349677,Prada,White Leather Cleo Shoulder Bag,2580,https://www.italist.com/us/women/bags/totes/white-leather-cleo-shoulder-bag/14349677/14517368/prada/
14517365-14349674,Prada,Sand Leather Small Panier Handbag,2872,https://www.italist.com/us/women/bags/totes/sand-leather-small-panier-handbag/14349674/14517365/prada/
14385668-14217977,Prada,Mud Re-nylon Large Re-edition 1978 Shopping Bag,1701,https://www.italist.com/us/women/bags/totes/mud-re-nylon-large-re-edition-1978-shopping-bag/14217977/14385668/prada/
14747502-14579811,Prada,Prada Arqué Leather Shoulder Bag,2264,https://www.italist.com/us/women/bags/shoulder-bags/prada-arque-leather-shoulder-bag/14579811/14747502/prada/
14602941-14435250,Prada,Shoulder Bag,1115,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14435250/14602941/prada/
14831498-14663807,Prada,Bucket Bag,2287,https://www.italist.com/us/women/bags/shoulder-bags/bucket-bag/14663807/14831498/prada/
14797556-14629865,Prada,Caramel Leather Crossbody Bag,2091,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14629865/14797556/prada/
14795919-14628228,Prada,Black Leather Buckle Large Handbag,4728,https://www.italist.com/us/women/bags/totes/black-leather-buckle-large-handbag/14628228/14795919/prada/
14795547-14627856,Prada,Black Leather Crossbody Bag,2091,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14627856/14795547/prada/
14794905-14627214,Prada,Black Leather Crossbody Bag,1896,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14627214/14794905/prada/
14791800-14624109,Prada,Arqué Leather Shoulder Bag,2189,https://www.italist.com/us/women/bags/shoulder-bags/arque-leather-shoulder-bag/14624109/14791800/prada/
14784170-14616479,Prada,Logo-printed Handbag,3361,https://www.italist.com/us/women/bags/totes/logo-printed-handbag/14616479/14784170/prada/
14783047-14615356,Prada,Black Leather Cleo Shoulder Bag,3751,https://www.italist.com/us/women/bags/totes/black-leather-cleo-shoulder-bag/14615356/14783047/prada/
14783736-14616045,Prada,Shoulder Bag,968,https://www.italist.com/us/women/bags/shoulder-bag/14616045/14783736/prada/
14808309-14640618,Prada,Black Leather Bucket Bag,3165,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-bucket-bag/14640618/14808309/prada/
14783695-14616004,Prada,Shoulder Bag,2384,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14616004/14783695/prada/
14628464-14460773,Prada,Caramel Leather Shopping Bag,4240,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14460773/14628464/prada/
14784206-14616515,Prada,Logo Medium Tote Bag,3361,https://www.italist.com/us/women/bags/totes/logo-medium-tote-bag/14616515/14784206/prada/
14808452-14640761,Prada,Black Leather Shopping Bag,4240,https://www.italist.com/us/women/bags/totes/black-leather-shopping-bag/14640761/14808452/prada/
14567517-14399826,Prada,Black Leather Prada Buckle Handbag,3477,https://www.italist.com/us/women/bags/totes/black-leather-prada-buckle-handbag/14399826/14567517/prada/
14531452-14363761,Prada,Buckle Handbag,4142,https://www.italist.com/us/women/bags/buckle-handbag/14363761/14531452/prada/
14531369-14363678,Prada,Leather Tote Bag,3751,https://www.italist.com/us/women/bags/totes/leather-tote-bag/14363678/14531369/prada/
14544713-14377022,Prada,Buckle Handbag,3849,https://www.italist.com/us/women/bags/totes/buckle-handbag/14377022/14544713/prada/
14512031-14344340,Prada,Embroidered Fabric Micro Symbole Handbag,1945,https://www.italist.com/us/women/bags/totes/embroidered-fabric-micro-symbole-handbag/14344340/14512031/prada/
